company_id,company_name,broad_sector,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,return_on_equity_pct_zscore,debt_to_equity_zscore,revenue_cagr_5yr_zscore,operating_profit_margin_pct_zscore,net_profit_margin_pct_zscore,interest_coverage_zscore,asset_turnover_zscore,is_outlier
ADANIGREEN,Adani Green Energy Ltd,Energy,TTM,17.881654609534408,75.13,12.812690665039659,6.595281675818589,1.8130671506352087,0.10467043571055559,-13347.0,228.4164859002169,9.0,9834.0,0.0,64858.0,7713.0,33.43,,,31.0038848698448,-0.47264691042819823,3.2615183991473167,2.6484027147863243,1.7861996931153554,0.3988314282633066,-0.8992006679028195,-0.930116364915768,True
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,TTM,431.9676860934795,89.67,13.576787656460265,0.0011613545449517945,3804.5,0.026119918356071883,1469.0,27.73207990599295,666.0,54247.0,20.0,63.0,1941.0,31.84,19.44,19.88,173.8792286978265,-0.42441996678494365,-1.1890070611267565,2.1097653469361046,1.1159298322333806,4.6079134947547455,4.192536232383136,-0.565205348138007,True
GAIL,GAIL (India) Ltd,Energy,TTM,8.48097824090064,12.33,12.861540060002339,0.28304998896060884,26.844474761255118,1.0680883472962681,4360.0,6.174377758429158,18.0,76997.0,37.0,21794.0,12586.0,13.41,3.94,5.15,6.9369927469668795,-0.46813841081630847,-0.7472293844579228,0.13734316707037797,-0.8252155257798679,-0.4941989386234961,3.188724497943028,0.7025565278640684,True
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,TTM,7.942361002144463,79.2,892.568306010929,0.018579234972677595,19.970006591957812,56.38625204582652,9424.0,17.065772669220944,157.0,915.0,0.0,17.0,21183.0,16.42,120.69,121.24,29.04745366738149,3.6029637946835535,-0.6430170560708017,0.18878094059288095,2.210427720275104,-0.4599200590879622,-0.5882522975407561,3.6036811550792156,True
PNB,Punjab National Bank,Financials,TTM,12.516576821728123,40.629999999999995,61.320565191187306,3.684256345007701,1.8587036645882087,1.5070262950629396,-29445.0,1.3808279466373263,13.0,14933.0,18.0,55017.0,-27939.0,1.26,9.68,10.2,4.172192273909374,3.4072769006954573,-0.2769396719868104,-2.1534068859884212,-0.3594541423219864,-0.29999524501858826,-0.1950406122941633,4.4340268125160165,True
