company_id,from_pattern,to_pattern,year
CANBK,Mixed,Growth Funded by Debt,Mar 2018
CANBK,Growth Funded by Debt,Reinvestor,Mar 2019
CANBK,Reinvestor,Growth Funded by Debt,Mar 2020
CANBK,Growth Funded by Debt,Mixed,Mar 2021
CANBK,Mixed,Growth Funded by Debt,Mar 2023
CANBK,Growth Funded by Debt,Reinvestor,Mar 2024
CHOLAFIN,Distress Signal,Growth Funded by Debt,Mar 2014
CHOLAFIN,Growth Funded by Debt,Distress Signal,Mar 2022
CHOLAFIN,Distress Signal,Growth Funded by Debt,Mar 2023
CIPLA,Mixed,Reinvestor,Mar 2014
CIPLA,Reinvestor,Mixed,Mar 2015
CIPLA,Mixed,Reinvestor,Mar 2017
CIPLA,Reinvestor,Liquidating Assets,Mar 2020
CIPLA,Liquidating Assets,Reinvestor,Mar 2021
COALINDIA,Reinvestor,Liquidating Assets,Mar 2014
COALINDIA,Liquidating Assets,Reinvestor,Mar 2018
COALINDIA,Reinvestor,Liquidating Assets,Mar 2020
COALINDIA,Liquidating Assets,Reinvestor,Mar 2022
DABUR,Reinvestor,Liquidating Assets,Mar 2019
DABUR,Liquidating Assets,Reinvestor,Mar 2020
DIVISLAB,Reinvestor,Mixed,Mar 2017
DIVISLAB,Mixed,Reinvestor,Mar 2018
DIVISLAB,Reinvestor,Liquidating Assets,Mar 2021
DIVISLAB,Liquidating Assets,Reinvestor,Mar 2022
DLF,Liquidating Assets,Reinvestor,Mar 2016
DLF,Reinvestor,Distress Signal,Mar 2017
DLF,Distress Signal,Reinvestor,Mar 2018
DLF,Reinvestor,Cash Accumulator,Mar 2019
DLF,Cash Accumulator,Liquidating Assets,Mar 2020
DLF,Liquidating Assets,Reinvestor,Mar 2023
DLF,Reinvestor,Mixed,Mar 2024
DMART,Mixed,Liquidating Assets,Mar 2018
DMART,Liquidating Assets,Mixed,Mar 2019
DMART,Mixed,Reinvestor,Mar 2021
EICHERMOT,Reinvestor,Mixed,Mar 2017
EICHERMOT,Mixed,Reinvestor,Mar 2018
GAIL,Mixed,Reinvestor,Mar 2014
GAIL,Reinvestor,Mixed,Mar 2020
GAIL,Mixed,Reinvestor,Mar 2021
GAIL,Reinvestor,Mixed,Mar 2023
GAIL,Mixed,Reinvestor,Mar 2024
GODREJCP,Mixed,Reinvestor,Mar 2014
GODREJCP,Reinvestor,Mixed,Mar 2017
GODREJCP,Mixed,Reinvestor,Mar 2018
GODREJCP,Reinvestor,Liquidating Assets,Mar 2019
GODREJCP,Liquidating Assets,Reinvestor,Mar 2020
GODREJCP,Reinvestor,Mixed,Mar 2024
GRASIM,Mixed,Reinvestor,Mar 2014
GRASIM,Reinvestor,Distress Signal,Mar 2018
GRASIM,Distress Signal,Growth Funded by Debt,Mar 2019
GRASIM,Growth Funded by Debt,Reinvestor,Mar 2020
GRASIM,Reinvestor,Growth Funded by Debt,Mar 2023
HAL,Unknown,Distress Signal,Mar 2019
HAL,Distress Signal,Mixed,Mar 2020
HAL,Mixed,Reinvestor,Mar 2021
HAVELLS,Reinvestor,Liquidating Assets,Mar 2019
HAVELLS,Liquidating Assets,Reinvestor,Mar 2020
HAVELLS,Reinvestor,Mixed,Mar 2021
HAVELLS,Mixed,Reinvestor,Mar 2022
HAVELLS,Reinvestor,Liquidating Assets,Mar 2023
HAVELLS,Liquidating Assets,Reinvestor,Mar 2024
HCLTECH,Reinvestor,Liquidating Assets,Mar 2022
HCLTECH,Liquidating Assets,Reinvestor,Mar 2023
HDFCBANK,Growth Funded by Debt,Mixed,Mar 2014
HDFCBANK,Mixed,Growth Funded by Debt,Mar 2015
HDFCBANK,Growth Funded by Debt,Reinvestor,Mar 2017
HDFCBANK,Reinvestor,Mixed,Mar 2018
HDFCBANK,Mixed,Growth Funded by Debt,Mar 2019
HDFCBANK,Growth Funded by Debt,Reinvestor,Mar 2021
HDFCBANK,Reinvestor,Growth Funded by Debt,Mar 2022
HDFCBANK,Growth Funded by Debt,Mixed,Mar 2023
HDFCBANK,Mixed,Liquidating Assets,Mar 2024
HDFCLIFE,Unknown,Reinvestor,Mar 2015
HDFCLIFE,Reinvestor,Mixed,Mar 2020
HDFCLIFE,Mixed,Reinvestor,Mar 2022
HDFCLIFE,Reinvestor,Mixed,Mar 2023
HDFCLIFE,Mixed,Reinvestor,Mar 2024
HEROMOTOCO,Reinvestor,Liquidating Assets,Mar 2015
HEROMOTOCO,Liquidating Assets,Reinvestor,Mar 2016
HEROMOTOCO,Reinvestor,Liquidating Assets,Mar 2019
HEROMOTOCO,Liquidating Assets,Reinvestor,Mar 2020
HINDALCO,Mixed,Reinvestor,Mar 2015
HINDALCO,Reinvestor,Liquidating Assets,Mar 2018
HINDALCO,Liquidating Assets,Reinvestor,Mar 2019
HINDALCO,Reinvestor,Mixed,Mar 2020
HINDALCO,Mixed,Reinvestor,Mar 2021
HINDUNILVR,Liquidating Assets,Reinvestor,Mar 2014
HINDUNILVR,Reinvestor,Liquidating Assets,Mar 2015
HINDUNILVR,Liquidating Assets,Reinvestor,Mar 2016
HINDUNILVR,Reinvestor,Liquidating Assets,Mar 2020
HINDUNILVR,Liquidating Assets,Reinvestor,Mar 2021
ICICIBANK,Mixed,Growth Funded by Debt,Mar 2015
ICICIBANK,Growth Funded by Debt,Mixed,Mar 2016
ICICIBANK,Mixed,Reinvestor,Mar 2017
ICICIBANK,Reinvestor,Mixed,Mar 2018
ICICIBANK,Mixed,Reinvestor,Mar 2019
ICICIBANK,Reinvestor,Mixed,Mar 2020
ICICIBANK,Mixed,Reinvestor,Mar 2021
ICICIBANK,Reinvestor,Mixed,Mar 2022
ICICIBANK,Mixed,Growth Funded by Debt,Mar 2023
ICICIBANK,Growth Funded by Debt,Mixed,Mar 2024
ICICIGI,Mixed,Unknown,Mar 2015
ICICIGI,Unknown,Reinvestor,Mar 2016
ICICIGI,Reinvestor,Mixed,Mar 2017
ICICIGI,Mixed,Reinvestor,Mar 2018
ICICIGI,Reinvestor,Liquidating Assets,Mar 2022
ICICIGI,Liquidating Assets,Reinvestor,Mar 2023
ICICIPRULI,Unknown,Reinvestor,Mar 2015
ICICIPRULI,Reinvestor,Liquidating Assets,Mar 2016
ICICIPRULI,Liquidating Assets,Reinvestor,Mar 2017
ICICIPRULI,Reinvestor,Mixed,Mar 2021
ICICIPRULI,Mixed,Reinvestor,Mar 2022
ICICIPRULI,Reinvestor,Unknown,Mar 2024
INDIGO,Mixed,Reinvestor,Mar 2015
INDIGO,Reinvestor,Mixed,Mar 2018
INDIGO,Mixed,Reinvestor,Mar 2019
INDIGO,Reinvestor,Unknown,Mar 2021
INDIGO,Unknown,Liquidating Assets,Mar 2022
INDIGO,Liquidating Assets,Reinvestor,Mar 2023
INDUSINDBK,Growth Funded by Debt,Reinvestor,Mar 2017
INDUSINDBK,Reinvestor,Growth Funded by Debt,Mar 2018
INDUSINDBK,Growth Funded by Debt,Distress Signal,Mar 2020
INDUSINDBK,Distress Signal,Reinvestor,Mar 2021
INDUSINDBK,Reinvestor,Growth Funded by Debt,Mar 2023
INDUSINDBK,Growth Funded by Debt,Pre-Revenue,Mar 2024
INFY,Reinvestor,Liquidating Assets,Mar 2015
